ts,value,unit
2025-08-19T18:21:06.598046,198.72,kPa
2025-08-19T18:21:17.866214,227.64,kPa
2025-08-19T18:21:29.127052,243.5,kPa
2025-08-19T18:21:40.388759,248.88,kPa
2025-08-19T18:21:51.566897,240.54,kPa
2025-08-19T18:22:02.808707,218.24,kPa
2025-08-19T18:22:14.025824,188.43,kPa
2025-08-19T18:22:25.277714,165.15,kPa
2025-08-19T18:22:36.505308,151.6,kPa
2025-08-19T18:22:47.721186,153.96,kPa
2025-08-19T18:22:58.950767,170.91,kPa
2025-08-19T18:23:10.203652,193.58,kPa
2025-08-19T18:23:21.431377,223.59,kPa
2025-08-19T18:23:32.690394,242.14,kPa
2025-08-19T18:23:43.910746,249.93,kPa
2025-08-19T18:23:55.155149,242.16,kPa
2025-08-19T18:24:06.360620,220.74,kPa
2025-08-19T18:24:17.552270,195.85,kPa
2025-08-19T18:24:28.846511,169.14,kPa
2025-08-19T18:24:59.439599,159.04,kPa
2025-08-19T18:25:10.696099,181.97,kPa
2025-08-19T18:25:21.936800,207.97,kPa
2025-08-19T18:25:33.166473,234.67,kPa
2025-08-19T18:25:44.425203,246.58,kPa
2025-08-19T18:25:55.716108,247.99,kPa
2025-08-19T18:26:06.991697,231.83,kPa
2025-08-19T18:26:18.174567,204.77,kPa
2025-08-19T18:26:29.448454,178.41,kPa
2025-08-19T18:26:40.646679,158.09,kPa
2025-08-19T18:26:51.907230,148.61,kPa
2025-08-19T18:27:03.127202,157.8,kPa
2025-08-19T18:27:14.367376,178.28,kPa
2025-08-19T18:27:25.565354,203.53,kPa
2025-08-19T18:27:36.805167,230.81,kPa
2025-08-19T18:27:48.058837,248.84,kPa
2025-08-19T18:27:59.273805,247.03,kPa
2025-08-19T18:28:10.448952,235.61,kPa
2025-08-19T18:28:21.642173,212.18,kPa
2025-08-19T18:28:32.821093,184.49,kPa
2025-08-19T18:28:44.015383,162.83,kPa
2025-08-19T18:28:55.235795,150.67,kPa
2025-08-19T18:29:06.514819,154.28,kPa
2025-08-19T18:29:37.763990,221.31,kPa
2025-08-19T18:30:14.017586,239.47,kPa
2025-08-19T18:30:45.101423,170.99,kPa
